"word","id"
"я",1314
"в",1602
"и",2620
"не",1941
"люблю",1600
"меня",4601
"на",3726
"у",7162
"а",7325
"с",4613
"ты",8030
"очень",226
"это",938
"как",889
"есть",3204
"что",2010
"но",8327
"да",1089
"тоже",2934
"мне",4078
"вот",4353
"так",6488
"нет",7439
"тебя",3827
"по",222
"то",3202
"все",4739
"работаю",5764
"ну",1014
"чем",3361
"ещ",8143
"за",7889
"вы",6321
"хорошо",8199
"пока",4406
"только",5370
"о",5386
"из",6282
"много",4379
"уже",4256
"хочу",7725
"сейчас",4632
"время",3235
"бы",6670
"зовут",253
"привет",172
"к",6695
"вас",4120
"любишь",6925
"или",1664
"живу",2371
"детей",5637
"тебе",7927
"мы",6254
"обожаю",6299
"там",5875
"когда",2093
"приятно",2464
"еще",3295
"их",6494
"готовить",719
"больше",5567
"было",3314
"нравится",7571
"лет",8240
"же",4183
"для",6122
"хобби",184
"вообще",2380
"себе",7036
"если",5769
"мечтаю",2111
"от",2364
"просто",1811
"круто",8468
"нас",808
"моя",6802
"здорово",8072
"животных",6635
"учусь",6431
"дома",3819
"поэтому",4495
"где",8111
"свободное",2197
"работа",2864
"могу",2159
"ладно",289
"наверное",6529
"надо",2349
"занимаешься",2948
"какие",5864
"можно",1861
"был",713
"времени",3995
"может",1678
"конечно",8165
"дети",7542
"они",3877
"спасибо",7640
"занимаюсь",7077
"даже",1781
"пора",3273
"море",3839
"всегда",470
"отлично",7776
"нибудь",505
"свою",3718
"он",6433
"со",6023
"часто",8250
"она",7814
"мой",7304
"раз",6864
"недавно",7943
"жизни",649
"жена",6790
"особенно",7887
"работы",777
"путешествовать",865
"кстати",7142
"вам",1443
"думаю",583
"его",4021
"семья",1704
"читать",6934
"была",7544
"какой",5240
"работаешь",7626
"нужно",3712
"кем",5081
"дела",7309
"муж",5471
"вс",6092
"работу",1915
"всего",5118
"до",1189
"работе",7547
"жизнь",955
"музыку",4016
"играю",4552
"будет",2863
"ого",7933
"иногда",4980
"хожу",6411
"день",7258
"собака",7055
"ничего",8304
"скоро",3286
"знаю",3035
"сижу",7374
"сколько",3042
"хотя",2630
"спорт",3216
"быть",4837
"интересно",7480
"играть",6717
"после",2110
"пообщаться",6626
"стать",2127
"умею",632
"мои",5414
"увлекаюсь",3353
"школе",2317
"сам",5925
"без",4921
"себя",2433
"мечта",1812
"чтобы",2047
"один",5028
"куда",1806
"готовлю",151
"ой",2321
"буду",2993
"теперь",6983
"мама",7087
"гулять",5809
"про",678
"давай",359
"кот",4051
"смотреть",7579
"тут",5570
"любите",2726
"двое",4301
"давно",2729
"сегодня",8236
"кто",268
"собак",4060
"ни",1629
"правда",4782
"работать",8554
"своей",4491
"какое",4180
"рыбалку",4889
"лучше",6851
"мое",4207
"познакомиться",1330
"увлекаешься",4529
"удачи",8014
"потому",2500
"немного",2508
"пойду",622
"дом",1173
"этом",911
"рад",2805
"смотрю",4854
"заниматься",634
"сын",5489
"почему",3537
"делать",1756
"такой",6701
"совсем",1810
"сожалению",3427
"какая",1892
"ходить",7223
"жить",2607
"ней",8182
"тогда",5723
"свой",2149
"спортом",3651
"замужем",5751
"надеюсь",4875
"них",5460
"кошек",2352
"девушка",2268
"под",1828
"завести",5518
"вместе",8364
"человек",3577
"цветы",2656
"хоть",4785
"город",1572
"детьми",8457
"друзьями",3625
"женат",1969
"классно",1256
"читаю",4608
"вкусно",134
"например",893
"животные",2163
"книги",6442
"боюсь",1568
"родители",202
"во",6258
"этого",1042
"два",732
"своих",1872
"расскажи",417
"летом",4161
"ними",3062
"большая",5246
"две",515
"дело",2219
"одна",2504
"потом",7476
"городе",4607
"откуда",7232
"ее",5756
"увлечения",1642
"года",3159
"нравятся",8309
"рисовать",4427
"любит",2539
"отдыхать",2240
"особо",6472
"еду",4194
"хотел",7336
"рок",3879
"сказать",6911
"такое",6102
"получается",6239
"собаку",2019
"спать",1000
"ведь",1260
"профессия",2382
"петь",3715
"бежать",4298
"кино",828
"кошка",1721
"основном",4356
"фильмы",3239
"главное",1663
"людей",4245
"друзей",1659
"плохо",7934
"гитаре",4959
"любимый",1900
"хочется",8267
"знаешь",2228
"никогда",1116
"собаки",6531
"хватает",986
"хотела",4278
"рада",231
"раньше",2609
"молодец",4096
"ли",6883
"такая",5753
"сама",2807
"любимое",803
"мало",3902
"дочь",5264
"уж",132
"тобой",38
"мужем",3891
"чего",5109
"почти",1119
"такие",2931
"занимаетесь",2113
"этим",6058
"кроме",5427
"точно",2027
"слушаю",5362
"постоянно",4189
"зато",3800
"моей",3820
"делаю",4342
"большой",4771
"е",7567
"деревне",5640
"отдых",5503
"учишься",1654
"хочешь",4750
"им",6850
"знакомству",1837
"машину",6740
"ним",4795
